GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006
Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
8600000US00601,00601,ZCTA5 00601,7744,4457,0,4457,3287,0
8600000US00602,00602,ZCTA5 00602,18073,18073,18073,0,0,0
8600000US00603,00603,ZCTA5 00603,25653,25635,25635,0,18,0
8600000US00606,00606,ZCTA5 00606,2877,1251,0,1251,1626,0
8600000US00610,00610,ZCTA5 00610,12618,11134,11134,0,1484,0
8600000US00612,00612,ZCTA5 00612,30992,29001,29001,0,1991,0
8600000US00616,00616,ZCTA5 00616,4896,4635,4635,0,261,0
8600000US00617,00617,ZCTA5 00617,10594,10395,10395,0,199,0
8600000US00622,00622,ZCTA5 00622,8714,4908,4908,0,3806,0
8600000US00623,00623,ZCTA5 00623,21426,21063,21063,0,363,0
8600000US00624,00624,ZCTA5 00624,9905,8325,8325,0,1580,0
8600000US00627,00627,ZCTA5 00627,14431,12530,12530,0,1901,0
8600000US00631,00631,ZCTA5 00631,842,0,0,0,842,0
8600000US00637,00637,ZCTA5 00637,10962,9978,9978,0,984,0
8600000US00638,00638,ZCTA5 00638,7805,4710,4710,0,3095,0
8600000US00641,00641,ZCTA5 00641,13358,7614,7614,0,5744,0
8600000US00646,00646,ZCTA5 00646,16699,16699,16699,0,0,0
8600000US00647,00647,ZCTA5 00647,3482,2433,2433,0,1049,0
8600000US00650,00650,ZCTA5 00650,6124,4316,4316,0,1808,0
8600000US00652,00652,ZCTA5 00652,1947,1461,1461,0,486,0
8600000US00653,00653,ZCTA5 00653,6217,5788,5788,0,429,0
8600000US00656,00656,ZCTA5 00656,8680,7577,7577,0,1103,0
8600000US00659,00659,ZCTA5 00659,17365,15461,15461,0,1904,0
8600000US00660,00660,ZCTA5 00660,7783,7757,7757,0,26,0
8600000US00662,00662,ZCTA5 00662,20199,19161,19161,0,1038,0
8600000US00664,00664,ZCTA5 00664,6590,4436,0,4436,2154,0
8600000US00667,00667,ZCTA5 00667,12508,9474,9474,0,3034,0
8600000US00669,00669,ZCTA5 00669,12458,9579,9579,0,2879,0
8600000US00670,00670,ZCTA5 00670,3973,1284,1284,0,2689,0
8600000US00674,00674,ZCTA5 00674,19409,18102,18102,0,1307,0
8600000US00676,00676,ZCTA5 00676,16887,14797,14797,0,2090,0
8600000US00677,00677,ZCTA5 00677,9730,9730,9730,0,0,0
8600000US00678,00678,ZCTA5 00678,11619,10537,10537,0,1082,0
8600000US00680,00680,ZCTA5 00680,27992,26757,26757,0,1235,0
8600000US00682,00682,ZCTA5 00682,15489,15071,15071,0,418,0
8600000US00683,00683,ZCTA5 00683,15219,13823,13823,0,1396,0
8600000US00685,00685,ZCTA5 00685,18877,16357,16357,0,2520,0
8600000US00687,00687,ZCTA5 00687,12381,10931,10931,0,1450,0
8600000US00688,00688,ZCTA5 00688,5353,4379,4379,0,974,0
8600000US00690,00690,ZCTA5 00690,2773,2773,2773,0,0,0
8600000US00692,00692,ZCTA5 00692,16026,15733,15733,0,293,0
8600000US00693,00693,ZCTA5 00693,25884,24838,24838,0,1046,0
8600000US00694,00694,ZCTA5 00694,188,188,188,0,0,0
8600000US00698,00698,ZCTA5 00698,17924,14725,14725,0,3199,0
8600000US00703,00703,ZCTA5 00703,11417,10207,10207,0,1210,0
8600000US00704,00704,ZCTA5 00704,3871,3803,3074,729,68,0
8600000US00705,00705,ZCTA5 00705,10297,8990,8990,0,1307,0
8600000US00707,00707,ZCTA5 00707,5546,4151,22,4129,1395,0
8600000US00714,00714,ZCTA5 00714,8871,8472,8472,0,399,0
8600000US00715,00715,ZCTA5 00715,1532,1431,1431,0,101,0
8600000US00716,00716,ZCTA5 00716,14275,14273,14273,0,2,0
8600000US00717,00717,ZCTA5 00717,9518,9518,9518,0,0,0
8600000US00718,00718,ZCTA5 00718,11970,10891,10891,0,1079,0
8600000US00719,00719,ZCTA5 00719,11496,11496,11496,0,0,0
8600000US00720,00720,ZCTA5 00720,9059,5901,5901,0,3158,0
8600000US00723,00723,ZCTA5 00723,9358,6939,6939,0,2419,0
8600000US00725,00725,ZCTA5 00725,38678,38163,38163,0,515,0
8600000US00727,00727,ZCTA5 00727,23679,23569,23569,0,110,0
8600000US00728,00728,ZCTA5 00728,16698,16688,16688,0,10,0
8600000US00729,00729,ZCTA5 00729,21688,21177,21177,0,511,0
8600000US00730,00730,ZCTA5 00730,16253,16153,16153,0,100,0
8600000US00731,00731,ZCTA5 00731,5962,3712,3532,180,2250,0
8600000US00735,00735,ZCTA5 00735,7749,5955,5955,0,1794,0
8600000US00736,00736,ZCTA5 00736,22315,20026,20026,0,2289,0
8600000US00738,00738,ZCTA5 00738,18383,17649,17649,0,734,0
8600000US00739,00739,ZCTA5 00739,15565,15100,15100,0,465,0
8600000US00740,00740,ZCTA5 00740,1008,1008,1008,0,0,0
8600000US00741,00741,ZCTA5 00741,2196,2196,2196,0,0,0
8600000US00745,00745,ZCTA5 00745,24529,23857,23857,0,672,0
8600000US00751,00751,ZCTA5 00751,10808,9001,927,8074,1807,0
8600000US00754,00754,ZCTA5 00754,17146,15048,15048,0,2098,0
8600000US00757,00757,ZCTA5 00757,9571,8309,0,8309,1262,0
8600000US00765,00765,ZCTA5 00765,5339,4649,0,4649,690,0
8600000US00766,00766,ZCTA5 00766,9947,8288,8288,0,1659,0
8600000US00767,00767,ZCTA5 00767,15831,13377,13377,0,2454,0
8600000US00769,00769,ZCTA5 00769,16612,13484,547,12937,3128,0
8600000US00771,00771,ZCTA5 00771,16142,15747,15747,0,395,0
8600000US00772,00772,ZCTA5 00772,10211,10123,10123,0,88,0
8600000US00773,00773,ZCTA5 00773,10968,10090,10090,0,878,0
8600000US00775,00775,ZCTA5 00775,1569,0,0,0,1569,0
8600000US00777,00777,ZCTA5 00777,16867,16292,16292,0,575,0
8600000US00778,00778,ZCTA5 00778,18127,17980,17980,0,147,0
8600000US00780,00780,ZCTA5 00780,5295,4813,4813,0,482,0
8600000US00782,00782,ZCTA5 00782,7535,6583,6583,0,952,0
8600000US00783,00783,ZCTA5 00783,13798,12934,12934,0,864,0
8600000US00784,00784,ZCTA5 00784,19159,17098,17098,0,2061,0
8600000US00786,00786,ZCTA5 00786,145,145,145,0,0,0
8600000US00791,00791,ZCTA5 00791,25871,25777,25777,0,94,0
8600000US00794,00794,ZCTA5 00794,11502,11043,11043,0,459,0
8600000US00795,00795,ZCTA5 00795,19196,17787,17755,32,1409,0
8600000US00901,00901,ZCTA5 00901,4990,4990,4990,0,0,0
8600000US00906,00906,ZCTA5 00906,168,168,168,0,0,0
